epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,18256.9,0.55716,0.48804,1.01789,0.84025,0.79667,0.85063,0.63799,0.88595,0.7659,1.21471,0.000346736,0.000346736,0.000346736
82,18416.2,0.55639,0.47402,1.01753,0.82294,0.79575,0.85312,0.63253,0.89716,0.78393,1.22239,0.000330233,0.000330233,0.000330233
83,18576.6,0.52363,0.45883,0.98709,0.84016,0.8036,0.84771,0.64038,0.88176,0.78517,1.22187,0.000313729,0.000313729,0.000313729
84,18734.8,0.53722,0.46579,0.98976,0.83824,0.80602,0.85344,0.64336,0.88098,0.74579,1.22764,0.000297226,0.000297226,0.000297226
85,18894.8,0.53134,0.46196,0.99015,0.82831,0.79683,0.8572,0.64976,0.8813,0.74469,1.23921,0.000280723,0.000280723,0.000280723
86,19054.8,0.52956,0.46562,1.00867,0.83541,0.80242,0.85232,0.65221,0.87449,0.75484,1.22995,0.00026422,0.00026422,0.00026422
87,19214.7,0.52862,0.47802,1.01036,0.83688,0.78725,0.84651,0.64379,0.86791,0.75411,1.22559,0.000247716,0.000247716,0.000247716
88,19376.2,0.50026,0.44013,0.98616,0.81494,0.83671,0.85262,0.65173,0.85365,0.73651,1.2139,0.000231213,0.000231213,0.000231213
89,19535.2,0.50068,0.43549,0.98995,0.83128,0.82447,0.85654,0.65197,0.85443,0.7346,1.19867,0.00021471,0.00021471,0.00021471
90,19694.8,0.50965,0.44685,0.99583,0.88081,0.80251,0.86123,0.65681,0.85545,0.74559,1.19868,0.000198206,0.000198206,0.000198206
91,19854.2,0.53364,0.51237,0.98734,0.864,0.80829,0.85521,0.65024,0.868,0.75435,1.20068,0.000181703,0.000181703,0.000181703
92,20012.3,0.4922,0.4398,0.93769,0.84983,0.81234,0.84446,0.63418,0.87518,0.78902,1.1936,0.0001652,0.0001652,0.0001652
93,20175.9,0.49468,0.42082,0.9338,0.82477,0.81977,0.84725,0.64133,0.86594,0.78445,1.18003,0.000148696,0.000148696,0.000148696
94,20334,0.47479,0.41386,0.92962,0.8174,0.80988,0.84455,0.6532,0.8444,0.74194,1.18175,0.000132193,0.000132193,0.000132193
95,20491.2,0.46603,0.39684,0.94113,0.82353,0.79065,0.84846,0.6551,0.8429,0.73204,1.17947,0.00011569,0.00011569,0.00011569
96,20648.8,0.4755,0.37932,0.93453,0.79569,0.83671,0.8564,0.6548,0.84985,0.746,1.17245,9.91865e-05,9.91865e-05,9.91865e-05
97,20805.7,0.44944,0.37383,0.91231,0.81721,0.81432,0.85509,0.64796,0.84526,0.75676,1.1644,8.26832e-05,8.26832e-05,8.26832e-05
98,20963.4,0.47088,0.3841,0.93835,0.82766,0.81805,0.85222,0.64933,0.83491,0.75701,1.15732,6.61799e-05,6.61799e-05,6.61799e-05
99,21118.8,0.46739,0.38068,0.93064,0.83161,0.82429,0.85465,0.65282,0.83272,0.75559,1.16036,4.96766e-05,4.96766e-05,4.96766e-05
100,21274.8,0.45782,0.37959,0.93642,0.83318,0.82178,0.85393,0.65416,0.83692,0.75462,1.16567,3.31733e-05,3.31733e-05,3.31733e-05
